순위,선수명,팀명,POS
1,오지환,LG,유격수
2,나성범,NC,우익수
3,하주석,한화,유격수
3,박해민,삼성,중견수
5,채은성,LG,우익수
6,이용규,한화,중견수
7,허경민,두산,3루수
7,번즈,롯데,2루수
7,로맥,SK,1루수
7,로하스,KT,중견수
11,호잉,한화,우익수
11,김헌곤,삼성,좌익수
13,버나디나,KIA,중견수
13,김재호,두산,유격수
15,손아섭,롯데,우익수
15,박경수,KT,2루수
17,김선빈,KIA,유격수
17,유강남,LG,포수
17,김하성,넥센,유격수
17,임병욱,넥센,중견수
17,최재훈,한화,포수
22,황재균,KT,3루수
23,오재원,두산,2루수
23,장성우,KT,포수
25,김민식,KIA,포수
26,김상수,삼성,유격수
26,윤석민,KT,1루수
28,이재원,SK,포수
28,이원석,삼성,3루수
30,양의지,두산,포수
31,전준우,롯데,좌익수
32,김재환,두산,좌익수
32,김재현,넥센,포수
34,오재일,두산,1루수
34,스크럭스,NC,1루수
36,심우준,KT,유격수
37,양석환,LG,3루수
37,러프,삼성,1루수
39,최형우,KIA,좌익수
40,김혜성,넥센,2루수
41,안치홍,KIA,2루수
41,문규현,롯데,유격수
41,김성욱,NC,중견수
44,최정,SK,3루수
44,김민성,넥센,3루수
44,강민호,삼성,포수
47,박민우,NC,2루수
48,나종덕,롯데,포수
49,정범모,NC,포수
50,한동민,SK,우익수
51,이범호,KIA,3루수
51,박병호,넥센,1루수
53,김주찬,KIA,1루수
54,이명기,KIA,우익수
54,채태인,롯데,1루수
54,정주현,LG,2루수
57,민병헌,롯데,중견수
58,박건우,두산,중견수
59,김성현,SK,2루수
59,송광민,한화,3루수
31,전준우,롯데,좌익수
32,김재환,두산,좌익수
32,김재현,넥센,포수
34,오재일,두산,1루수
34,스크럭스,NC,1루수
36,심우준,KT,유격수
37,양석환,LG,3루수
37,러프,삼성,1루수
39,최형우,KIA,좌익수
40,김혜성,넥센,2루수
41,안치홍,KIA,2루수
41,문규현,롯데,유격수
41,김성욱,NC,중견수
44,최정,SK,3루수
44,김민성,넥센,3루수
44,강민호,삼성,포수
47,박민우,NC,2루수
48,나종덕,롯데,포수
49,정범모,NC,포수
50,한동민,SK,우익수
51,이범호,KIA,3루수
51,박병호,넥센,1루수
53,김주찬,KIA,1루수
54,이명기,KIA,우익수
54,채태인,롯데,1루수
54,정주현,LG,2루수
57,민병헌,롯데,중견수
58,박건우,두산,중견수
59,김성현,SK,2루수
59,송광민,한화,3루수
59,구자욱,삼성,우익수
62,김용의,LG,1루수
63,이성우,SK,포수
64,이형종,LG,중견수
65,지성준,한화,포수
66,신본기,롯데,유격수
67,한동희,롯데,3루수
67,김동엽,SK,좌익수
67,나주환,SK,유격수
70,김강민,SK,중견수
71,주효상,넥센,포수
71,초이스,넥센,우익수
71,유한준,KT,우익수
74,손주인,삼성,2루수
75,권희동,NC,좌익수
75,김현수,LG,좌익수
75,강한울,삼성,2루수
78,류지혁,두산,유격수
78,김규민,넥센,좌익수
80,박세혁,두산,포수
80,신본기,롯데,3루수
80,이지영,삼성,포수
80,박기혁,KT,유격수
84,오현택,롯데,투수
84,이해창,KT,포수
86,노진혁,NC,유격수
86,강백호,KT,좌익수
88,노진혁,NC,3루수
88,최충연,삼성,투수
90,강윤구,NC,투수
59,구자욱,삼성,우익수
62,김용의,LG,1루수
63,이성우,SK,포수
64,이형종,LG,중견수
65,지성준,한화,포수
66,신본기,롯데,유격수
67,한동희,롯데,3루수
67,김동엽,SK,좌익수
67,나주환,SK,유격수
70,김강민,SK,중견수
71,주효상,넥센,포수
71,초이스,넥센,우익수
71,유한준,KT,우익수
74,손주인,삼성,2루수
75,권희동,NC,좌익수
75,김현수,LG,좌익수
75,강한울,삼성,2루수
78,류지혁,두산,유격수
78,김규민,넥센,좌익수
80,박세혁,두산,포수
80,신본기,롯데,3루수
80,이지영,삼성,포수
80,박기혁,KT,유격수
84,오현택,롯데,투수
84,이해창,KT,포수
86,노진혁,NC,유격수
86,강백호,KT,좌익수
88,노진혁,NC,3루수
88,최충연,삼성,투수
90,강윤구,NC,투수
90,박상원,한화,투수
92,김현수,LG,1루수
92,송은범,한화,투수
92,정은원,한화,2루수
95,박치국,두산,투수
96,손시헌,NC,유격수
96,노수광,SK,중견수
96,이천웅,LG,좌익수
96,정찬헌,LG,투수
96,진해수,LG,투수
96,양성우,한화,좌익수
102,김강률,두산,투수
102,정상호,LG,포수
104,김윤동,KIA,투수
104,구승민,롯데,투수
104,이보근,넥센,투수
107,강경학,한화,2루수
107,이태양,한화,투수
109,함덕주,두산,투수
109,김재윤,KT,투수
111,정진호,두산,좌익수
111,김태훈,SK,투수
111,오주원,넥센,투수
114,안중열,롯데,포수
114,진명호,롯데,투수
114,김형준,NC,포수
114,장필준,삼성,투수
118,한승택,KIA,포수
118,이명우,롯데,투수
118,원종현,NC,투수
90,박상원,한화,투수
92,김현수,LG,1루수
92,송은범,한화,투수
92,정은원,한화,2루수
95,박치국,두산,투수
96,손시헌,NC,유격수
96,노수광,SK,중견수
96,이천웅,LG,좌익수
96,정찬헌,LG,투수
96,진해수,LG,투수
96,양성우,한화,좌익수
102,김강률,두산,투수
102,정상호,LG,포수
104,김윤동,KIA,투수
104,구승민,롯데,투수
104,이보근,넥센,투수
107,강경학,한화,2루수
107,이태양,한화,투수
109,함덕주,두산,투수
109,김재윤,KT,투수
111,정진호,두산,좌익수
111,김태훈,SK,투수
111,오주원,넥센,투수
114,안중열,롯데,포수
114,진명호,롯데,투수
114,김형준,NC,포수
114,장필준,삼성,투수
118,한승택,KIA,포수
118,이명우,롯데,투수
118,원종현,NC,투수
118,강승호,SK,2루수
118,심창민,삼성,투수
123,노수광,SK,좌익수
123,안익훈,LG,중견수
123,김상수,넥센,투수
123,이성열,한화,1루수
127,조수행,두산,우익수
127,손승락,롯데,투수
129,고우석,LG,투수
129,서균,한화,투수
129,홍성용,KT,투수
132,임기준,KIA,투수
132,김승회,두산,투수
132,김사훈,롯데,포수
132,김범수,한화,투수
132,정우람,한화,투수
132,엄상백,KT,투수
132,오태곤,KT,좌익수
139,정진호,두산,우익수
139,신재웅,SK,투수
141,이우성,NC,좌익수
141,최항,SK,2루수
141,장영석,넥센,1루수
141,안영명,한화,투수
141,김성훈,삼성,2루수
146,이명기,KIA,좌익수
146,이정후,넥센,우익수
148,정영일,SK,투수
149,김진성,NC,투수
149,이민호,NC,투수
